CREATED_ON,DELETED_ON,ROLE,GRANTED_TO,GRANTEE_NAME,GRANTED_BY
2023-10-19 09:47:54.509000-08:00,2023-10-19 09:48:59.830000-08:00,ACCOUNTADMIN,USER,SNOWFLAKE,ACCOUNTADMIN
2023-10-19 09:47:54.505000-08:00,,ACCOUNTADMIN,USER,HECLOUD,
2023-10-19 09:47:57.841000-08:00,,ORGADMIN,USER,HECLOUD,
