CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE,OBJECT_INSTANCE
2023-10-19 09:55:15.941000-08:00,2023-10-19 09:55:15.941000-08:00,OWNERSHIP,TABLE,VEGETABLE_DETAILS_PLANT_HEIGHT,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 11:23:52.124000-08:00,2023-10-19 11:23:52.124000-08:00,OWNERSHIP,TABLE,CHANGE_HISTORY,GARDEN_PLANTS,SCHEMACHANGE,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-24 10:01:02.259000-08:00,2023-10-24 10:01:02.259000-08:00,OWNERSHIP,VIEW,POTATOES_V,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-20 10:37:50.352000-08:00,2023-10-20 10:37:50.352000-08:00,OWNERSHIP,TABLE,POTATOES,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-23 07:39:18.486000-08:00,2023-10-23 07:39:18.486000-08:00,OWNERSHIP,TABLE,TABLE1,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-23 07:39:20.808000-08:00,2023-10-23 07:39:20.808000-08:00,OWNERSHIP,TABLE,TABLE2,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-23 07:39:23.378000-08:00,2023-10-23 07:39:23.378000-08:00,OWNERSHIP,TABLE,TABLE3,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 09:54:59.782000-08:00,2023-10-19 09:54:59.782000-08:00,OWNERSHIP,TABLE,ROOT_DEPTH,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-23 07:39:25.227000-08:00,2023-10-23 07:39:25.227000-08:00,OWNERSHIP,TABLE,TABLE4,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:14:19.710000-08:00,2023-11-01 12:14:19.710000-08:00,OWNERSHIP,TABLE,VISITORS_DT,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:22:57.409000-08:00,2023-11-01 12:22:57.409000-08:00,OWNERSHIP,SEQUENCE,SEQ1,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:24:01.204000-08:00,2023-11-01 12:24:01.204000-08:00,OWNERSHIP,STREAM,DATA_CHECK,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:13:37.066000-08:00,2023-11-01 12:13:37.066000-08:00,OWNERSHIP,STREAM,RAWSTREAM1,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:16:29.320000-08:00,2023-11-01 12:16:29.320000-08:00,OWNERSHIP,FILE FORMAT,MY_CSV_FORMAT,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:13:37.878000-08:00,2023-11-01 12:13:37.878000-08:00,OWNERSHIP,TASK,RAW_TO_NAMES,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 09:47:57.907000-08:00,2023-10-19 09:47:57.907000-08:00,OWNERSHIP,DATABASE,SNOWFLAKE_SAMPLE_DATA,SNOWFLAKE_SAMPLE_DATA,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 09:53:39.298000-08:00,2023-10-19 09:53:39.298000-08:00,OWNERSHIP,DATABASE,GARDEN_PLANTS,GARDEN_PLANTS,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 09:47:58.329000-08:00,2023-10-19 09:47:58.329000-08:00,USAGE,DATABASE,SNOWFLAKE_SAMPLE_DATA,SNOWFLAKE_SAMPLE_DATA,,ROLE,PUBLIC,False,ACCOUNTADMIN,,ROLE,
2023-10-19 09:47:54.520000-08:00,2023-10-19 09:47:54.520000-08:00,CREATE SHARE,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.531000-08:00,2023-10-19 09:47:54.531000-08:00,MONITOR EXECUTION,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.520000-08:00,2023-10-19 09:47:54.520000-08:00,IMPORT SHARE,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.531000-08:00,2023-10-19 09:47:54.531000-08:00,APPLY MASKING POLICY,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.536000-08:00,2023-10-19 09:47:54.536000-08:00,CREATE DATA EXCHANGE LISTING,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.524000-08:00,2023-10-19 09:47:54.524000-08:00,CREATE INTEGRATION,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.527000-08:00,2023-10-19 09:47:54.527000-08:00,EXECUTE TASK,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.502000-08:00,2023-10-19 09:47:54.502000-08:00,USAGE,ROLE,SECURITYADMIN,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.532000-08:00,2023-10-19 09:47:54.532000-08:00,APPLY ROW ACCESS POLICY,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.535000-08:00,2023-10-19 09:47:54.535000-08:00,MONITOR SECURITY,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.537000-08:00,2023-10-19 09:47:54.537000-08:00,PURCHASE DATA EXCHANGE LISTING,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.526000-08:00,2023-10-19 09:47:54.526000-08:00,MANAGE GLOBAL OBJECTS,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.550000-08:00,2023-10-19 09:47:54.550000-08:00,CREATE RESOURCE MONITOR,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.546000-08:00,2023-10-19 09:47:54.546000-08:00,MODIFY,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,False,,,,
