CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE,OBJECT_INSTANCE
2023-10-19 09:53:39.348000-08:00,2023-10-19 09:53:39.348000-08:00,OWNERSHIP,SCHEMA,PUBLIC,GARDEN_PLANTS,PUBLIC,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 09:53:53.082000-08:00,2023-10-19 09:53:53.082000-08:00,OWNERSHIP,SCHEMA,VEGGIES,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 09:54:51.031000-08:00,2023-10-19 09:54:51.031000-08:00,OWNERSHIP,TABLE,LU_SOIL_TYPE,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 09:54:59.782000-08:00,2023-10-19 09:54:59.782000-08:00,OWNERSHIP,TABLE,ROOT_DEPTH,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 09:55:06.730000-08:00,2023-10-19 09:55:06.730000-08:00,OWNERSHIP,TABLE,VEGETABLE_DETAILS,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 09:55:15.941000-08:00,2023-10-19 09:55:15.941000-08:00,OWNERSHIP,TABLE,VEGETABLE_DETAILS_PLANT_HEIGHT,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 09:55:30.256000-08:00,2023-10-19 09:55:30.256000-08:00,OWNERSHIP,TABLE,VEGETABLE_DETAILS_SOIL_TYPE,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 11:23:51.622000-08:00,2023-10-19 11:23:51.622000-08:00,OWNERSHIP,SCHEMA,SCHEMACHANGE,GARDEN_PLANTS,SCHEMACHANGE,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 11:23:52.124000-08:00,2023-10-19 11:23:52.124000-08:00,OWNERSHIP,TABLE,CHANGE_HISTORY,GARDEN_PLANTS,SCHEMACHANGE,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 12:15:33.627000-08:00,2023-10-19 12:15:33.627000-08:00,OWNERSHIP,TABLE,VEGETABLES,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-20 10:37:50.352000-08:00,2023-10-20 10:37:50.352000-08:00,OWNERSHIP,TABLE,POTATOES,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-23 07:39:18.486000-08:00,2023-10-23 07:39:18.486000-08:00,OWNERSHIP,TABLE,TABLE1,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-23 07:39:20.808000-08:00,2023-10-23 07:39:20.808000-08:00,OWNERSHIP,TABLE,TABLE2,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-23 07:39:23.378000-08:00,2023-10-23 07:39:23.378000-08:00,OWNERSHIP,TABLE,TABLE3,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-23 07:39:25.227000-08:00,2023-10-23 07:39:25.227000-08:00,OWNERSHIP,TABLE,TABLE4,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-23 08:24:32.941000-08:00,2023-10-23 08:24:32.941000-08:00,OWNERSHIP,TABLE,TABLE5,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-24 10:01:02.259000-08:00,2023-10-24 10:01:02.259000-08:00,OWNERSHIP,VIEW,POTATOES_V,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:13:37.066000-08:00,2023-11-01 12:13:37.066000-08:00,OWNERSHIP,STREAM,RAWSTREAM1,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:13:37.463000-08:00,2023-11-01 12:13:37.463000-08:00,OWNERSHIP,TABLE,NAMES,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:13:37.878000-08:00,2023-11-01 12:13:37.878000-08:00,OWNERSHIP,TASK,RAW_TO_NAMES,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:14:18.862000-08:00,2023-11-01 12:14:18.862000-08:00,OWNERSHIP,TABLE,RAW,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:14:19.710000-08:00,2023-11-01 12:14:19.710000-08:00,OWNERSHIP,TABLE,VISITORS_DT,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:15:01.327000-08:00,2023-11-01 12:15:01.327000-08:00,OWNERSHIP,TABLE,MY_EVENTS,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
